AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.050_CD_0.055_CoP_0.400,0.05,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,223
CL_0.060_CD_0.055_CoP_0.400,0.06,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,224
CL_0.070_CD_0.055_CoP_0.400,0.07,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,225
CL_0.080_CD_0.055_CoP_0.400,0.08,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,226
CL_0.090_CD_0.055_CoP_0.400,0.09,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,227
CL_0.100_CD_0.055_CoP_0.400,0.1,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,228
CL_0.110_CD_0.055_CoP_0.400,0.11,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,229
CL_0.120_CD_0.055_CoP_0.400,0.12,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,230
CL_0.130_CD_0.055_CoP_0.400,0.13,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,231
CL_0.140_CD_0.055_CoP_0.400,0.14,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,232
CL_0.040_CD_0.060_CoP_0.400,0.04,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,233
CL_0.050_CD_0.060_CoP_0.400,0.05,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,234
CL_0.060_CD_0.060_CoP_0.400,0.06,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,235
CL_0.070_CD_0.060_CoP_0.400,0.07,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,236
CL_0.080_CD_0.060_CoP_0.400,0.08,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,237
CL_0.090_CD_0.060_CoP_0.400,0.09,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,238
CL_0.100_CD_0.060_CoP_0.400,0.1,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,239
CL_0.110_CD_0.060_CoP_0.400,0.11,0.06,0.4,Lap_Sim_constantAero_T27.m not found.,240
